size = 122175
mmap = 5124 cycles time 0.000000 micro s 
FOUND 30016 164 cycles: time  0.096471 micro s
FOUND 30080 164 cycles: time  0.096471 micro s
FOUND 30144 164 cycles: time  0.096471 micro s
FOUND 30208 168 cycles: time  0.098824 micro s
FOUND 30272 164 cycles: time  0.096471 micro s
FOUND 30336 164 cycles: time  0.096471 micro s
FOUND 30400 164 cycles: time  0.096471 micro s
FOUND 30464 164 cycles: time  0.096471 micro s
FOUND 30528 160 cycles: time  0.094118 micro s
FOUND 30592 168 cycles: time  0.098824 micro s
FOUND 30656 164 cycles: time  0.096471 micro s
FOUND 32768 184 cycles: time  0.108235 micro s
FOUND 32832 160 cycles: time  0.094118 micro s
FOUND 32896 168 cycles: time  0.098824 micro s
FOUND 32960 160 cycles: time  0.094118 micro s
FOUND 33024 160 cycles: time  0.094118 micro s
FOUND 33088 572 cycles: time  0.336471 micro s
FOUND 33152 164 cycles: time  0.096471 micro s
FOUND 33216 600 cycles: time  0.352941 micro s
FOUND 33280 160 cycles: time  0.094118 micro s
FOUND 33344 160 cycles: time  0.094118 micro s
FOUND 33408 160 cycles: time  0.094118 micro s
FOUND 33472 144 cycles: time  0.084706 micro s
FOUND 36864 688 cycles: time  0.404706 micro s
FOUND 36928 160 cycles: time  0.094118 micro s
FOUND 36992 160 cycles: time  0.094118 micro s
FOUND 37056 164 cycles: time  0.096471 micro s
FOUND 37120 164 cycles: time  0.096471 micro s
FOUND 37184 164 cycles: time  0.096471 micro s
FOUND 37248 164 cycles: time  0.096471 micro s
FOUND 37312 160 cycles: time  0.094118 micro s
FOUND 37376 160 cycles: time  0.094118 micro s
FOUND 37440 168 cycles: time  0.098824 micro s
FOUND 37504 160 cycles: time  0.094118 micro s
FOUND 37568 168 cycles: time  0.098824 micro s
FOUND 40960 184 cycles: time  0.108235 micro s
FOUND 41024 160 cycles: time  0.094118 micro s
FOUND 41088 168 cycles: time  0.098824 micro s
FOUND 41152 164 cycles: time  0.096471 micro s
FOUND 41216 164 cycles: time  0.096471 micro s
FOUND 41280 1888 cycles: time  1.110588 micro s
FOUND 41344 164 cycles: time  0.096471 micro s
FOUND 41408 164 cycles: time  0.096471 micro s
FOUND 41472 244 cycles: time  0.143529 micro s
FOUND 41536 160 cycles: time  0.094118 micro s
FOUND 41600 164 cycles: time  0.096471 micro s
FOUND 41664 952 cycles: time  0.560000 micro s
FOUND 45056 208 cycles: time  0.122353 micro s
FOUND 45120 164 cycles: time  0.096471 micro s
FOUND 45184 160 cycles: time  0.094118 micro s
FOUND 45248 168 cycles: time  0.098824 micro s
FOUND 45312 164 cycles: time  0.096471 micro s
FOUND 45376 164 cycles: time  0.096471 micro s
FOUND 45440 160 cycles: time  0.094118 micro s
FOUND 45504 168 cycles: time  0.098824 micro s
FOUND 45568 164 cycles: time  0.096471 micro s
FOUND 45632 164 cycles: time  0.096471 micro s
FOUND 45696 164 cycles: time  0.096471 micro s
FOUND 45760 164 cycles: time  0.096471 micro s
FOUND 49152 180 cycles: time  0.105882 micro s
FOUND 49216 160 cycles: time  0.094118 micro s
FOUND 49280 164 cycles: time  0.096471 micro s
FOUND 49344 164 cycles: time  0.096471 micro s
FOUND 49408 160 cycles: time  0.094118 micro s
FOUND 49472 160 cycles: time  0.094118 micro s
FOUND 49536 160 cycles: time  0.094118 micro s
FOUND 49600 164 cycles: time  0.096471 micro s
FOUND 49664 160 cycles: time  0.094118 micro s
FOUND 49728 164 cycles: time  0.096471 micro s
FOUND 49792 160 cycles: time  0.094118 micro s
FOUND 49856 164 cycles: time  0.096471 micro s
FOUND 51712 324 cycles: time  0.190588 micro s
FOUND 53248 180 cycles: time  0.105882 micro s
FOUND 53312 860 cycles: time  0.505882 micro s
FOUND 53376 164 cycles: time  0.096471 micro s
FOUND 53440 164 cycles: time  0.096471 micro s
FOUND 53504 164 cycles: time  0.096471 micro s
FOUND 53568 164 cycles: time  0.096471 micro s
FOUND 53632 160 cycles: time  0.094118 micro s
FOUND 53696 164 cycles: time  0.096471 micro s
FOUND 53760 164 cycles: time  0.096471 micro s
FOUND 53824 164 cycles: time  0.096471 micro s
FOUND 53888 160 cycles: time  0.094118 micro s
FOUND 53952 164 cycles: time  0.096471 micro s
FOUND 57344 176 cycles: time  0.103529 micro s
FOUND 57408 164 cycles: time  0.096471 micro s
FOUND 57472 164 cycles: time  0.096471 micro s
FOUND 57536 164 cycles: time  0.096471 micro s
FOUND 57600 160 cycles: time  0.094118 micro s
FOUND 57664 164 cycles: time  0.096471 micro s
FOUND 57728 164 cycles: time  0.096471 micro s
FOUND 57792 160 cycles: time  0.094118 micro s
FOUND 57856 160 cycles: time  0.094118 micro s
FOUND 57920 168 cycles: time  0.098824 micro s
FOUND 57984 160 cycles: time  0.094118 micro s
FOUND 58048 168 cycles: time  0.098824 micro s
FOUND 61440 180 cycles: time  0.105882 micro s
FOUND 61504 164 cycles: time  0.096471 micro s
FOUND 61568 164 cycles: time  0.096471 micro s
FOUND 61632 164 cycles: time  0.096471 micro s
FOUND 61696 164 cycles: time  0.096471 micro s
FOUND 61760 164 cycles: time  0.096471 micro s
FOUND 61824 144 cycles: time  0.084706 micro s
FOUND 61888 164 cycles: time  0.096471 micro s
FOUND 61952 164 cycles: time  0.096471 micro s
FOUND 62016 164 cycles: time  0.096471 micro s
FOUND 62080 168 cycles: time  0.098824 micro s
FOUND 62144 164 cycles: time  0.096471 micro s
FOUND 63811 252 cycles: time  0.148235 micro s
FOUND 65536 8668 cycles: time  5.098824 micro s
FOUND 65600 160 cycles: time  0.094118 micro s
FOUND 65664 160 cycles: time  0.094118 micro s
FOUND 65728 164 cycles: time  0.096471 micro s
FOUND 65792 164 cycles: time  0.096471 micro s
FOUND 65856 160 cycles: time  0.094118 micro s
FOUND 65920 164 cycles: time  0.096471 micro s
FOUND 65984 164 cycles: time  0.096471 micro s
FOUND 66048 164 cycles: time  0.096471 micro s
FOUND 66112 164 cycles: time  0.096471 micro s
FOUND 66176 164 cycles: time  0.096471 micro s
FOUND 66240 160 cycles: time  0.094118 micro s
FOUND 67235 176 cycles: time  0.103529 micro s
FOUND 69632 160 cycles: time  0.094118 micro s
FOUND 69696 164 cycles: time  0.096471 micro s
FOUND 69760 160 cycles: time  0.094118 micro s
FOUND 69824 164 cycles: time  0.096471 micro s
FOUND 69888 164 cycles: time  0.096471 micro s
FOUND 69952 164 cycles: time  0.096471 micro s
FOUND 70016 164 cycles: time  0.096471 micro s
FOUND 70080 164 cycles: time  0.096471 micro s
FOUND 70144 164 cycles: time  0.096471 micro s
FOUND 70208 164 cycles: time  0.096471 micro s
FOUND 70272 164 cycles: time  0.096471 micro s
